N,P,K,temperature,humidity,ph,rainfall,label
34,9,36,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
116,40,33,24.91370487,54.15319242,7.042089492000001,129.5481144,coffee
70,65,52,30.42012134,93.12659793,6.583528529,75.95295,papaya
99,57,38,24.80624984,82.09281674,6.356295567999999,156.3616174,jute
1,6,35,27.02269204,95.71935435,6.231662767,147.16824590000004,coconut
6,8,11,24.35590861,92.39651663,6.600948787999999,119.6946577,orange
7,11,32,29.25902906,95.11294697,5.542169138999999,184.7624496,coconut
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
25,132,198,22.31944084,90.85174383,5.732757516,100.1173443,apple
45,58,49,30.10773379,90.34546355,6.827812549,75.24521981,papaya
117,25,53,29.11858526,92.12543021,6.413927319,24.52020164,muskmelon
111,5,47,28.03306461,91.47355778,6.2744528110000015,21.17924769,muskmelon
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,cotton
8,133,195,20.46657776,80.97598029,6.456079585,71.29813872,grapes
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute
72,51,40,23.20683504,74.09956958,7.422318499,199.4766779,jute
3,134,199,20.28370163,81.32235739,5.81717753,71.06611222,grapes
28,67,21,21.79792649,63.73086065,6.250994222999999,46.62370222,lentil
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,mango
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,apple
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
19,15,34,26.29644905,99.65809151,5.6858890660000005,215.9195049,coconut
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango
25,17,40,18.91251245,87.74938524,6.608023872,111.28005159999998,pomegranate
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,cotton
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
